Modal,Potensi_Pasar,Lokasi,Persaingan,Tren_Usaha,Jenis_Usaha
11800000,2,3,3,2,Kuliner
10000000,2,3,2,3,Kuliner
8600000,2,3,2,3,Kuliner
10000000,3,3,3,2,Kuliner
5800000,2,3,2,3,Kuliner
83400000,3,2,2,3,Kuliner
8600000,3,3,3,3,Kuliner
5100000,3,3,2,2,Kuliner
62300000,3,1,3,1,Kuliner
18200000,3,2,2,3,Kuliner
14600000,3,3,2,3,Kuliner
84600000,3,3,2,2,Kuliner
19800000,3,3,3,3,Kuliner
22700000,1,3,2,1,Kuliner
66000000,2,3,2,3,Kuliner
59200000,3,3,2,3,Kuliner
15300000,3,3,3,1,Kuliner
22300000,2,3,3,3,Kuliner
11000000,2,3,3,2,Kuliner
21700000,1,3,2,2,Kuliner
29400000,3,3,3,3,Kuliner
16600000,3,3,1,3,Kuliner
18300000,3,1,3,2,Kuliner
29600000,3,2,3,3,Kuliner
26800000,3,2,1,3,Kuliner
17400000,3,3,2,3,Kuliner
42400000,3,3,3,3,Kuliner
18100000,3,3,2,3,Kuliner
101900000,3,2,2,3,Kuliner
10300000,3,2,2,2,Kuliner
19700000,1,3,2,3,Kuliner
9500000,2,3,3,2,Kuliner
13100000,3,3,2,3,Kuliner
105600000,3,3,2,3,Kuliner
68500000,2,2,2,2,Kuliner
7800000,3,3,2,3,Kuliner
78100000,2,3,2,2,Kuliner
7900000,3,2,2,3,Kuliner
6100000,3,3,2,3,Kuliner
14400000,2,2,2,3,Kuliner
167300000,3,3,2,2,Kuliner
10800000,3,3,1,3,Kuliner
18100000,3,1,2,1,Kuliner
12100000,1,3,1,3,Kuliner
59500000,3,3,2,3,Kuliner
28600000,3,3,3,3,Kuliner
44700000,3,3,3,3,Kuliner
74100000,1,1,1,3,Kuliner
40600000,3,3,3,2,Kuliner
15400000,3,3,1,2,Kuliner
4700000,1,3,3,3,Kuliner
102700000,2,3,3,2,Kuliner
5600000,3,3,2,2,Kuliner
69800000,3,3,2,3,Kuliner
22600000,3,3,2,1,Kuliner
38500000,3,3,2,1,Kuliner
131700000,3,3,2,3,Kuliner
12600000,3,1,3,1,Kuliner
5300000,1,3,3,2,Kuliner
12300000,3,2,2,3,Kuliner
3700000,3,1,3,1,Kuliner
6800000,3,3,2,1,Kuliner
3400000,2,3,2,2,Kuliner
49200000,3,2,2,3,Kuliner
70200000,3,3,2,2,Kuliner
8100000,3,3,2,3,Kuliner
5500000,3,3,2,3,Kuliner
8200000,2,3,2,3,Kuliner
3200000,1,2,2,3,Kuliner
6600000,3,2,2,3,Kuliner
5200000,3,3,1,3,Kuliner
6700000,1,2,2,3,Kuliner
21100000,3,3,2,2,Kuliner
5200000,3,2,2,2,Kuliner
5100000,2,2,1,2,Kuliner
70100000,3,2,2,1,Kuliner
8800000,1,2,2,3,Kuliner
7400000,3,2,2,3,Kuliner
126500000,3,2,2,2,Kuliner
5400000,2,1,2,3,Kuliner
24400000,3,2,2,3,Kuliner
41900000,1,3,2,3,Kuliner
11500000,3,2,3,3,Kuliner
17500000,3,3,2,3,Kuliner
14500000,3,3,1,3,Kuliner
182600000,3,2,1,3,Kuliner
8800000,2,2,3,3,Kuliner
112300000,3,2,2,3,Kuliner
34400000,3,2,3,2,Kuliner
5000000,1,3,2,3,Kuliner
3700000,3,2,2,3,Kuliner
6000000,3,3,2,3,Kuliner
4600000,3,2,2,3,Kuliner
26600000,1,3,2,2,Kuliner
30800000,2,1,2,2,Kuliner
134500000,3,2,2,3,Kuliner
24000000,3,1,2,3,Kuliner
67400000,3,3,2,3,Kuliner
31000000,2,2,2,3,Kuliner
3600000,3,2,1,1,Kuliner
29800000,3,1,1,1,Kuliner
100600000,3,2,2,3,Kuliner
119300000,3,1,2,3,Kuliner
5500000,3,2,2,1,Kuliner
29600000,2,3,2,2,Kuliner
6100000,3,2,3,3,Kuliner
5400000,3,2,2,3,Kuliner
91400000,2,2,3,3,Kuliner
6800000,3,3,1,3,Kuliner
17000000,3,3,2,3,Kuliner
7100000,1,1,2,3,Kuliner
9400000,2,2,2,3,Kuliner
29800000,2,1,2,3,Kuliner
14900000,3,2,2,2,Kuliner
7200000,3,2,2,3,Kuliner
15900000,3,2,1,2,Kuliner
7600000,3,2,2,3,Kuliner
33400000,3,1,2,3,Kuliner
76300000,3,2,2,3,Kuliner
37400000,3,2,2,3,Kuliner
133500000,3,3,3,2,Kuliner
72800000,3,2,1,3,Kuliner
8500000,3,2,2,2,Kuliner
6600000,3,1,3,1,Kuliner
47600000,2,3,2,3,Kuliner
53900000,2,2,3,3,Kuliner
33600000,3,2,2,3,Kuliner
12600000,2,3,2,3,Kuliner
10200000,2,3,3,2,Kuliner
4200000,3,1,2,3,Kuliner
2000000,1,3,3,3,Kuliner
40800000,1,2,3,3,Kuliner
3500000,3,3,2,2,Kuliner
5400000,1,2,3,3,Kuliner
2700000,2,3,3,2,Kuliner
2300000,3,3,1,3,Kuliner
94100000,3,3,2,3,Kuliner
30500000,3,3,2,3,Kuliner
3000000,3,1,2,2,Kuliner
46300000,3,3,2,3,Kuliner
30600000,3,3,1,3,Kuliner
173600000,3,3,2,3,Kuliner
2800000,1,3,3,3,Kuliner
4400000,3,2,3,3,Kuliner
5800000,1,1,2,3,Kuliner
83400000,1,3,2,3,Kuliner
3600000,1,3,2,3,Kuliner
3000000,3,2,2,3,Kuliner
111000000,3,3,2,3,Kuliner
16200000,2,3,2,3,Kuliner
34900000,3,2,2,1,Kuliner
61800000,3,3,3,3,Kuliner
28200000,3,3,2,3,Kuliner
10300000,3,3,2,3,Kuliner
181800000,3,3,2,3,Kuliner
11200000,2,3,2,3,Kuliner
12800000,3,3,3,2,Kuliner
11700000,3,2,2,3,Kuliner
11100000,3,2,2,3,Kuliner
80400000,2,3,2,2,Kuliner
42200000,3,3,2,3,Kuliner
15600000,3,3,2,1,Kuliner
10300000,3,2,2,3,Kuliner
72600000,3,3,2,3,Kuliner
12900000,2,1,2,3,Kuliner
13500000,2,1,3,3,Kuliner
15700000,3,3,2,3,Kuliner
30300000,3,2,3,3,Kuliner
19900000,3,2,2,2,Kuliner
28400000,3,2,2,3,Kuliner
16000000,3,3,2,2,Kuliner
9000000,1,1,2,1,Kuliner
8500000,3,3,3,2,Kuliner
13000000,3,3,2,3,Kuliner
9800000,1,3,3,3,Kuliner
12900000,3,2,1,3,Kuliner
49100000,3,2,2,3,Kuliner
179200000,2,2,2,1,Kuliner
12900000,1,3,1,2,Kuliner
69800000,3,3,2,1,Kuliner
36900000,2,1,3,3,Kuliner
10800000,3,2,3,1,Kuliner
65600000,3,3,2,2,Kuliner
56800000,1,2,2,3,Kuliner
114500000,2,2,2,3,Kuliner
9900000,3,1,2,3,Kuliner
131500000,3,3,2,3,Kuliner
8300000,3,3,2,2,Kuliner
18400000,3,3,2,2,Kuliner
71700000,3,3,2,3,Kuliner
58900000,3,3,3,3,Kuliner
19600000,3,3,3,1,Kuliner
12900000,2,3,2,3,Kuliner
24400000,2,3,2,2,Kuliner
124000000,3,3,2,1,Kuliner
24900000,2,2,2,3,Kuliner
84100000,3,3,2,3,Kuliner
71300000,1,1,1,3,Kuliner
12700000,3,1,2,3,Kuliner
12300000,2,3,2,3,Kuliner
45800000,1,3,2,3,Kuliner
18300000,3,3,2,3,Kuliner
47400000,3,2,2,3,Kuliner
41200000,1,3,1,2,Kuliner
173800000,2,3,2,3,Kuliner
95500000,3,3,3,3,Kuliner
26500000,2,3,2,3,Kuliner
20400000,3,2,2,3,Kuliner
170100000,2,3,3,3,Kuliner
22700000,2,3,3,2,Perdagangan
12100000,1,2,3,2,Perdagangan
15100000,3,2,3,3,Perdagangan
35800000,1,3,3,2,Perdagangan
11000000,3,2,3,1,Perdagangan
28400000,3,3,3,2,Perdagangan
20300000,3,3,3,3,Perdagangan
55600000,1,2,3,2,Perdagangan
11600000,3,3,3,2,Perdagangan
143100000,3,3,3,3,Perdagangan
35400000,3,3,2,2,Perdagangan
40600000,3,3,3,3,Perdagangan
11000000,3,2,2,1,Perdagangan
23000000,3,1,3,2,Perdagangan
10500000,3,3,2,1,Perdagangan
27500000,3,3,3,2,Perdagangan
23700000,3,3,1,2,Perdagangan
18700000,3,3,3,2,Perdagangan
28700000,3,3,2,2,Perdagangan
11800000,3,3,3,2,Perdagangan
15200000,3,3,2,2,Perdagangan
148500000,3,3,3,2,Perdagangan
20300000,3,3,3,2,Perdagangan
195700000,3,3,3,2,Perdagangan
14900000,3,3,1,2,Perdagangan
154100000,2,3,3,2,Perdagangan
16100000,3,1,2,2,Perdagangan
15900000,3,3,3,2,Perdagangan
10200000,3,1,3,3,Perdagangan
12200000,3,3,3,2,Perdagangan
76300000,2,2,1,1,Perdagangan
14800000,2,3,3,2,Perdagangan
72200000,3,3,1,3,Perdagangan
24100000,3,3,3,2,Perdagangan
11100000,1,3,3,3,Perdagangan
17100000,2,3,3,2,Perdagangan
10000000,3,3,3,1,Perdagangan
69000000,3,3,2,3,Perdagangan
24300000,2,3,3,2,Perdagangan
160700000,2,3,3,3,Perdagangan
11400000,2,2,1,3,Perdagangan
5700000,3,2,1,3,Perdagangan
5200000,2,3,3,3,Perdagangan
24700000,3,2,3,3,Perdagangan
8000000,3,2,1,2,Perdagangan
3200000,3,2,3,3,Perdagangan
4900000,3,3,3,3,Perdagangan
1700000,3,1,1,3,Perdagangan
1800000,3,2,3,3,Perdagangan
4000000,2,1,2,3,Perdagangan
44800000,3,2,3,3,Perdagangan
7100000,2,2,2,3,Perdagangan
140800000,3,2,1,3,Perdagangan
162600000,3,2,3,3,Perdagangan
32900000,3,2,2,3,Perdagangan
4700000,3,3,3,3,Perdagangan
2500000,3,2,1,3,Perdagangan
17000000,3,2,2,3,Perdagangan
37700000,3,1,3,1,Perdagangan
72300000,2,2,3,3,Perdagangan
3700000,2,1,3,3,Perdagangan
3700000,3,3,3,3,Perdagangan
1200000,3,1,3,3,Perdagangan
10900000,2,2,3,3,Perdagangan
18700000,3,1,2,2,Perdagangan
146600000,3,2,3,3,Perdagangan
34700000,2,2,3,3,Perdagangan
1600000,3,1,3,3,Perdagangan
2700000,2,3,3,3,Perdagangan
145300000,2,1,3,1,Perdagangan
900000,2,1,3,1,Perdagangan
64200000,3,2,3,2,Perdagangan
2500000,2,1,3,2,Perdagangan
70900000,3,1,3,3,Perdagangan
131100000,3,3,3,3,Perdagangan
3000000,2,3,3,3,Perdagangan
69000000,3,2,3,2,Perdagangan
600000,3,2,3,3,Perdagangan
1200000,3,3,3,3,Perdagangan
38300000,3,1,1,3,Perdagangan
181200000,3,1,2,2,Perdagangan
42900000,1,2,3,2,Perdagangan
44000000,2,3,3,3,Perdagangan
50900000,1,2,1,2,Perdagangan
18000000,2,3,3,2,Perdagangan
21700000,3,2,1,3,Perdagangan
125400000,3,3,3,2,Perdagangan
44000000,3,3,2,3,Perdagangan
35700000,2,3,3,2,Perdagangan
22000000,3,3,3,2,Perdagangan
40800000,1,3,3,2,Perdagangan
75600000,1,1,3,2,Perdagangan
22500000,3,3,3,2,Perdagangan
27900000,3,3,3,2,Perdagangan
20700000,3,3,3,2,Perdagangan
16300000,2,3,3,2,Perdagangan
82400000,3,1,3,2,Perdagangan
20100000,2,3,1,3,Perdagangan
28800000,2,3,3,2,Perdagangan
32900000,3,3,2,2,Perdagangan
27000000,3,3,3,2,Perdagangan
24000000,3,3,3,2,Perdagangan
16800000,3,3,3,2,Perdagangan
13600000,3,3,3,2,Perdagangan
33300000,2,3,2,2,Perdagangan
69300000,1,3,3,2,Perdagangan
21800000,3,1,3,2,Perdagangan
26600000,3,3,2,2,Perdagangan
29000000,3,2,3,2,Perdagangan
99500000,3,3,3,2,Perdagangan
10500000,2,3,2,2,Perdagangan
10000000,3,2,3,1,Perdagangan
44000000,3,3,3,3,Perdagangan
18800000,3,3,3,2,Perdagangan
41400000,2,2,3,2,Perdagangan
63300000,1,3,3,2,Perdagangan
18400000,3,2,1,2,Perdagangan
11000000,3,1,3,2,Perdagangan
35600000,1,3,2,2,Perdagangan
30400000,3,3,3,2,Perdagangan
10900000,3,3,3,2,Perdagangan
43400000,3,3,3,3,Perdagangan
12000000,1,3,3,2,Perdagangan
22200000,3,3,2,3,Perdagangan
27600000,3,3,2,2,Perdagangan
34400000,1,1,3,3,Perdagangan
97200000,3,3,3,2,Perdagangan
21400000,3,3,2,2,Perdagangan
38100000,3,2,2,2,Perdagangan
103800000,2,3,2,2,Perdagangan
48600000,3,2,1,2,Perdagangan
18400000,3,2,3,3,Perdagangan
23200000,3,3,3,3,Perdagangan
23500000,3,3,3,3,Perdagangan
11700000,1,1,3,2,Perdagangan
25500000,3,3,3,3,Perdagangan
18600000,3,3,3,1,Perdagangan
83300000,3,2,1,3,Perdagangan
13700000,3,3,3,3,Perdagangan
171700000,2,3,3,3,Perdagangan
127800000,2,3,3,2,Perdagangan
83100000,3,3,1,1,Perdagangan
114600000,2,3,3,2,Perdagangan
32400000,3,3,2,2,Perdagangan
194200000,2,3,2,2,Perdagangan
152200000,3,3,3,2,Perdagangan
54000000,2,2,3,3,Perdagangan
27500000,2,3,3,1,Perdagangan
32800000,3,3,3,2,Perdagangan
134300000,2,2,3,2,Perdagangan
37500000,3,3,3,1,Perdagangan
46800000,3,3,3,2,Perdagangan
152600000,3,3,2,2,Perdagangan
36300000,3,3,3,2,Perdagangan
73400000,3,3,1,2,Perdagangan
31100000,3,3,3,2,Perdagangan
34500000,3,2,1,2,Perdagangan
84400000,1,3,3,2,Perdagangan
62200000,3,3,3,3,Perdagangan
85800000,2,3,3,2,Perdagangan
171300000,3,3,3,2,Perdagangan
5300000,1,1,3,2,Perdagangan
32300000,3,3,3,2,Perdagangan
19900000,3,3,3,3,Perdagangan
41300000,3,2,1,2,Perdagangan
5500000,3,3,3,2,Perdagangan
7600000,3,3,2,3,Perdagangan
29900000,3,2,1,2,Perdagangan
13900000,2,2,3,2,Perdagangan
14800000,3,3,3,3,Perdagangan
102300000,3,1,3,2,Perdagangan
36900000,3,2,3,1,Perdagangan
14300000,3,3,3,2,Perdagangan
83100000,2,3,3,2,Perdagangan
42200000,3,2,1,2,Perdagangan
7100000,3,3,1,2,Perdagangan
7100000,3,2,3,3,Perdagangan
6900000,3,3,3,3,Perdagangan
46200000,3,1,2,2,Perdagangan
17000000,3,3,1,2,Perdagangan
17500000,3,2,3,2,Perdagangan
49000000,3,3,2,2,Perdagangan
62900000,3,3,3,2,Perdagangan
31000000,3,3,3,2,Perdagangan
15700000,3,3,3,2,Perdagangan
108600000,3,3,3,2,Perdagangan
27300000,3,3,3,2,Perdagangan
193500000,3,3,3,2,Perdagangan
35700000,2,1,3,3,Perdagangan
119500000,3,2,3,2,Perdagangan
15500000,2,3,2,1,Perdagangan
71800000,1,3,1,2,Perdagangan
31600000,3,3,2,2,Perdagangan
23700000,3,1,3,2,Perdagangan
16500000,2,2,3,3,Perdagangan
64400000,2,3,3,2,Perdagangan
193600000,3,3,3,3,Perdagangan
75900000,1,3,3,2,Perdagangan
17100000,1,3,3,2,Perdagangan
36900000,3,3,3,2,Perdagangan
26700000,2,3,3,2,Perdagangan
22700000,3,3,3,2,Perdagangan
21700000,3,3,3,2,Perdagangan
40000000,3,2,3,3,Perdagangan
19500000,2,3,3,3,Perdagangan
199700000,1,1,3,1,Perdagangan
28300000,2,2,3,2,Perdagangan
23300000,3,2,1,3,Perdagangan
16300000,3,2,3,2,Perdagangan
42700000,3,3,3,2,Perdagangan
24500000,3,2,3,3,Perdagangan
17600000,3,3,3,3,Perdagangan
141000000,2,3,3,2,Perdagangan
26900000,2,2,3,2,Perdagangan
37700000,2,3,1,2,Perdagangan
21800000,1,1,2,2,Perdagangan
169000000,3,3,3,2,Perdagangan
19500000,3,2,3,2,Perdagangan
58400000,3,1,3,1,Perdagangan
19000000,2,3,3,3,Perdagangan
58000000,3,3,1,3,Perdagangan
140400000,3,3,1,1,Perdagangan
42000000,3,3,3,1,Perdagangan
47200000,3,3,3,2,Perdagangan
150200000,1,2,3,2,Perdagangan
36000000,2,3,2,3,Perdagangan
34900000,3,3,3,1,Perdagangan
31000000,3,2,1,1,Perdagangan
49900000,3,2,3,3,Perdagangan
60000000,3,3,2,1,Perdagangan
180500000,3,3,1,2,Perdagangan
191500000,2,3,3,3,Perdagangan
42000000,3,3,2,2,Perdagangan
142300000,1,3,3,2,Perdagangan
57700000,1,2,2,3,Perdagangan
97500000,3,1,3,2,Perdagangan
51300000,3,3,2,2,Perdagangan
163000000,2,3,3,2,Perdagangan
26900000,1,3,3,3,Perdagangan
122700000,2,3,2,2,Perdagangan
18900000,2,3,3,3,Perdagangan
39600000,3,2,2,2,Perdagangan
18200000,3,3,3,3,Perdagangan
19100000,3,2,1,3,Perdagangan
135700000,3,3,3,2,Perdagangan
116900000,3,2,1,3,Perdagangan
16200000,3,3,3,2,Perdagangan
29000000,3,3,3,2,Perdagangan
17800000,3,3,1,3,Perdagangan
18300000,3,3,3,2,Perdagangan
63600000,3,2,1,2,Perdagangan
19400000,2,3,3,2,Perdagangan
16400000,3,2,3,2,Perdagangan
53100000,2,3,3,3,Perdagangan
75300000,3,3,1,3,Perdagangan
35100000,3,3,3,2,Perdagangan
122900000,3,3,3,2,Perdagangan
24800000,3,3,3,3,Perdagangan
17800000,1,3,3,2,Perdagangan
90300000,3,2,3,2,Perdagangan
102900000,3,3,3,3,Perdagangan
73500000,2,3,3,2,Perdagangan
29500000,3,3,3,2,Perdagangan
27100000,3,3,3,2,Perdagangan
37200000,3,3,3,2,Perdagangan
23500000,3,3,3,2,Perdagangan
23700000,3,3,2,2,Perdagangan
25700000,3,3,2,2,Perdagangan
43800000,3,3,1,3,Perdagangan
32600000,3,3,2,2,Perdagangan
57900000,3,2,3,3,Perdagangan
156300000,3,2,3,2,Perdagangan
181600000,3,3,2,2,Perdagangan
33500000,2,3,3,3,Perdagangan
39200000,3,3,3,2,Perdagangan
19900000,3,3,3,2,Perdagangan
27600000,3,2,3,2,Perdagangan
34100000,3,3,3,2,Perdagangan
27400000,3,3,3,2,Perdagangan
80500000,3,3,3,2,Perdagangan
34300000,3,3,3,2,Perdagangan
192700000,3,1,1,2,Perdagangan
36200000,3,3,3,2,Perdagangan
163700000,3,3,3,1,Perdagangan
32500000,3,1,3,1,Perdagangan
133500000,3,3,2,2,Perdagangan
120700000,2,2,3,2,Perdagangan
147900000,1,3,3,2,Perdagangan
137300000,2,3,3,2,Perdagangan
141300000,3,2,3,1,Perdagangan
120500000,2,3,3,3,Perdagangan
35400000,3,1,3,2,Perdagangan
106200000,3,3,2,1,Perdagangan
126600000,2,3,3,2,Perdagangan
35200000,3,3,3,1,Perdagangan
51000000,3,3,3,2,Perdagangan
177900000,3,3,3,3,Perdagangan
68200000,3,3,2,2,Perdagangan
133200000,3,3,3,3,Perdagangan
119100000,2,3,3,2,Perdagangan
47700000,3,2,3,2,Perdagangan
40300000,3,2,2,2,Perdagangan
30100000,3,3,3,2,Perdagangan
122800000,2,3,2,2,Perdagangan
191200000,2,2,2,2,Perdagangan
175300000,3,2,3,3,Perdagangan
61400000,3,3,3,2,Perdagangan
25500000,1,3,3,2,Perdagangan
79100000,3,1,3,2,Perdagangan
165400000,2,3,3,2,Perdagangan
148700000,3,3,3,3,Perdagangan
118700000,3,3,3,1,Perdagangan
176800000,3,3,2,2,Perdagangan
101600000,3,2,2,2,Perdagangan
52800000,2,2,3,2,Perdagangan
42400000,3,3,3,2,Perdagangan
116700000,3,3,3,2,Perdagangan
122400000,2,3,3,2,Perdagangan
131900000,3,3,2,2,Perdagangan
86800000,3,3,3,2,Perdagangan
128900000,3,2,3,2,Perdagangan
170800000,3,3,3,2,Perdagangan
39400000,1,3,3,3,Perdagangan
128000000,3,3,3,2,Perdagangan
133200000,3,3,1,2,Perdagangan
61500000,3,3,3,2,Perdagangan
102500000,3,3,3,2,Perdagangan
65100000,3,3,3,2,Perdagangan
60300000,3,3,3,2,Perdagangan
74500000,3,3,1,3,Perdagangan
157700000,1,3,3,1,Perdagangan
119600000,3,3,3,3,Perdagangan
130400000,3,3,2,2,Perdagangan
177200000,3,3,3,1,Perdagangan
31100000,2,3,3,3,Perdagangan
43200000,3,1,2,1,Perdagangan
66600000,3,3,3,3,Perdagangan
62900000,3,3,2,2,Perdagangan
164700000,3,1,2,2,Perdagangan
164400000,1,3,3,2,Perdagangan
22600000,3,2,3,2,Perdagangan
69800000,3,2,3,2,Perdagangan
15500000,3,2,3,2,Perdagangan
10600000,3,2,3,3,Perdagangan
164900000,2,2,2,3,Perdagangan
11900000,3,3,3,2,Perdagangan
17100000,3,3,1,3,Perdagangan
169900000,2,2,2,2,Perdagangan
39900000,2,3,3,2,Perdagangan
151400000,3,3,3,2,Perdagangan
10200000,3,3,2,3,Perdagangan
19600000,3,2,2,3,Perdagangan
50100000,3,3,3,3,Perdagangan
