Modal,Potensi_Pasar,Lokasi,Persaingan,Tren_Usaha,Jenis_Usaha,Jenis_Usaha_Spesifik,id_mapping,skenario_ke
46600000,3,3,2,2,Kuliner,Usaha jus / es buah,9,12
6500000,3,3,3,3,Kuliner,Usaha jus / es buah,9,13
49100000,3,3,2,3,Kuliner,Usaha jus / es buah,9,14
5000000,3,2,3,3,Kuliner,Usaha jus / es buah,9,15
9300000,3,3,3,1,Kuliner,Usaha jus / es buah,9,16
8000000,3,3,3,3,Kuliner,Usaha jus / es buah,9,17
6600000,3,2,2,2,Kuliner,Usaha jus / es buah,9,18
7100000,2,3,2,3,Kuliner,Usaha jus / es buah,9,19
159900000,2,3,2,3,Kuliner,Usaha jus / es buah,9,20
23600000,2,2,1,3,Kuliner,Angkringan,10,1
20000000,3,3,3,3,Kuliner,Angkringan,10,2
81300000,3,2,2,3,Kuliner,Angkringan,10,3
10300000,2,2,1,3,Kuliner,Angkringan,10,4
5400000,2,3,2,1,Kuliner,Angkringan,10,5
8900000,2,3,1,3,Kuliner,Angkringan,10,6
120600000,2,2,3,3,Kuliner,Angkringan,10,7
9800000,3,3,2,1,Kuliner,Angkringan,10,8
14600000,3,3,1,3,Kuliner,Angkringan,10,9
5400000,3,2,1,3,Kuliner,Angkringan,10,10
12400000,3,2,2,3,Kuliner,Angkringan,10,11
11800000,2,3,3,2,Kuliner,Angkringan,10,12
10000000,2,3,2,3,Kuliner,Angkringan,10,13
8600000,2,3,2,3,Kuliner,Angkringan,10,14
10000000,3,3,3,2,Kuliner,Angkringan,10,15
5800000,2,3,2,3,Kuliner,Angkringan,10,16
83400000,3,2,2,3,Kuliner,Angkringan,10,17
8600000,3,3,3,3,Kuliner,Angkringan,10,18
5100000,3,3,2,2,Kuliner,Angkringan,10,19
62300000,3,1,3,1,Kuliner,Angkringan,10,20
18200000,3,2,2,3,Kuliner,Makanan cepat saji,11,1
14600000,3,3,2,3,Kuliner,Makanan cepat saji,11,2
84600000,3,3,2,2,Kuliner,Makanan cepat saji,11,3
19800000,3,3,3,3,Kuliner,Makanan cepat saji,11,4
22700000,1,3,2,1,Kuliner,Makanan cepat saji,11,5
66000000,2,3,2,3,Kuliner,Makanan cepat saji,11,6
59200000,3,3,2,3,Kuliner,Makanan cepat saji,11,7
15300000,3,3,3,1,Kuliner,Makanan cepat saji,11,8
22300000,2,3,3,3,Kuliner,Makanan cepat saji,11,9
11000000,2,3,3,2,Kuliner,Makanan cepat saji,11,10
21700000,1,3,2,2,Kuliner,Makanan cepat saji,11,11
29400000,3,3,3,3,Kuliner,Makanan cepat saji,11,12
16600000,3,3,1,3,Kuliner,Makanan cepat saji,11,13
18300000,3,1,3,2,Kuliner,Makanan cepat saji,11,14
29600000,3,2,3,3,Kuliner,Makanan cepat saji,11,15
26800000,3,2,1,3,Kuliner,Makanan cepat saji,11,16
17400000,3,3,2,3,Kuliner,Makanan cepat saji,11,17
42400000,3,3,3,3,Kuliner,Makanan cepat saji,11,18
18100000,3,3,2,3,Kuliner,Makanan cepat saji,11,19
101900000,3,2,2,3,Kuliner,Makanan cepat saji,11,20
10300000,3,2,2,2,Kuliner,Makanan tradisional,12,1
19700000,1,3,2,3,Kuliner,Makanan tradisional,12,2
9500000,2,3,3,2,Kuliner,Makanan tradisional,12,3
13100000,3,3,2,3,Kuliner,Makanan tradisional,12,4
105600000,3,3,2,3,Kuliner,Makanan tradisional,12,5
68500000,2,2,2,2,Kuliner,Makanan tradisional,12,6
7800000,3,3,2,3,Kuliner,Makanan tradisional,12,7
78100000,2,3,2,2,Kuliner,Makanan tradisional,12,8
7900000,3,2,2,3,Kuliner,Makanan tradisional,12,9
6100000,3,3,2,3,Kuliner,Makanan tradisional,12,10
14400000,2,2,2,3,Kuliner,Makanan tradisional,12,11
167300000,3,3,2,2,Kuliner,Makanan tradisional,12,12
10800000,3,3,1,3,Kuliner,Makanan tradisional,12,13
18100000,3,1,2,1,Kuliner,Makanan tradisional,12,14
12100000,1,3,1,3,Kuliner,Makanan tradisional,12,15
59500000,3,3,2,3,Kuliner,Makanan tradisional,12,16
28600000,3,3,3,3,Kuliner,Makanan tradisional,12,17
44700000,3,3,3,3,Kuliner,Makanan tradisional,12,18
74100000,1,1,1,3,Kuliner,Makanan tradisional,12,19
40600000,3,3,3,2,Kuliner,Makanan tradisional,12,20
15400000,3,3,1,2,Kuliner,Street food,13,1
4700000,1,3,3,3,Kuliner,Street food,13,2
102700000,2,3,3,2,Kuliner,Street food,13,3
5600000,3,3,2,2,Kuliner,Street food,13,4
69800000,3,3,2,3,Kuliner,Street food,13,5
22600000,3,3,2,1,Kuliner,Street food,13,6
38500000,3,3,2,1,Kuliner,Street food,13,7
131700000,3,3,2,3,Kuliner,Street food,13,8
12600000,3,1,3,1,Kuliner,Street food,13,9
5300000,1,3,3,2,Kuliner,Street food,13,10
12300000,3,2,2,3,Kuliner,Street food,13,11
3700000,3,1,3,1,Kuliner,Street food,13,12
6800000,3,3,2,1,Kuliner,Street food,13,13
3400000,2,3,2,2,Kuliner,Street food,13,14
49200000,3,2,2,3,Kuliner,Street food,13,15
70200000,3,3,2,2,Kuliner,Street food,13,16
8100000,3,3,2,3,Kuliner,Street food,13,17
5500000,3,3,2,3,Kuliner,Street food,13,18
8200000,2,3,2,3,Kuliner,Street food,13,19
3200000,1,2,2,3,Kuliner,Street food,13,20
6600000,3,2,2,3,Kuliner,Frozen food rumahan,14,1
5200000,3,3,1,3,Kuliner,Frozen food rumahan,14,2
6700000,1,2,2,3,Kuliner,Frozen food rumahan,14,3
21100000,3,3,2,2,Kuliner,Frozen food rumahan,14,4
5200000,3,2,2,2,Kuliner,Frozen food rumahan,14,5
5100000,2,2,1,2,Kuliner,Frozen food rumahan,14,6
70100000,3,2,2,1,Kuliner,Frozen food rumahan,14,7
8800000,1,2,2,3,Kuliner,Frozen food rumahan,14,8
7400000,3,2,2,3,Kuliner,Frozen food rumahan,14,9
126500000,3,2,2,2,Kuliner,Frozen food rumahan,14,10
5400000,2,1,2,3,Kuliner,Frozen food rumahan,14,11
24400000,3,2,2,3,Kuliner,Frozen food rumahan,14,12
41900000,1,3,2,3,Kuliner,Frozen food rumahan,14,13
11500000,3,2,3,3,Kuliner,Frozen food rumahan,14,14
17500000,3,3,2,3,Kuliner,Frozen food rumahan,14,15
14500000,3,3,1,3,Kuliner,Frozen food rumahan,14,16
182600000,3,2,1,3,Kuliner,Frozen food rumahan,14,17
8800000,2,2,3,3,Kuliner,Frozen food rumahan,14,18
112300000,3,2,2,3,Kuliner,Frozen food rumahan,14,19
34400000,3,2,3,2,Kuliner,Frozen food rumahan,14,20
5000000,1,3,2,3,Kuliner,Dessert box,15,1
3700000,3,2,2,3,Kuliner,Dessert box,15,2
6000000,3,3,2,3,Kuliner,Dessert box,15,3
4600000,3,2,2,3,Kuliner,Dessert box,15,4
26600000,1,3,2,2,Kuliner,Dessert box,15,5
30800000,2,1,2,2,Kuliner,Dessert box,15,6
134500000,3,2,2,3,Kuliner,Dessert box,15,7
24000000,3,1,2,3,Kuliner,Dessert box,15,8
67400000,3,3,2,3,Kuliner,Dessert box,15,9
31000000,2,2,2,3,Kuliner,Dessert box,15,10
3600000,3,2,1,1,Kuliner,Dessert box,15,11
29800000,3,1,1,1,Kuliner,Dessert box,15,12
100600000,3,2,2,3,Kuliner,Dessert box,15,13
119300000,3,1,2,3,Kuliner,Dessert box,15,14
5500000,3,2,2,1,Kuliner,Dessert box,15,15
29600000,2,3,2,2,Kuliner,Dessert box,15,16
6100000,3,2,3,3,Kuliner,Dessert box,15,17
5400000,3,2,2,3,Kuliner,Dessert box,15,18
91400000,2,2,3,3,Kuliner,Dessert box,15,19
6800000,3,3,1,3,Kuliner,Dessert box,15,20
17000000,3,3,2,3,Kuliner,Usaha catering harian,16,1
7100000,1,1,2,3,Kuliner,Usaha catering harian,16,2
9400000,2,2,2,3,Kuliner,Usaha catering harian,16,3
29800000,2,1,2,3,Kuliner,Usaha catering harian,16,4
14900000,3,2,2,2,Kuliner,Usaha catering harian,16,5
7200000,3,2,2,3,Kuliner,Usaha catering harian,16,6
15900000,3,2,1,2,Kuliner,Usaha catering harian,16,7
7600000,3,2,2,3,Kuliner,Usaha catering harian,16,8
33400000,3,1,2,3,Kuliner,Usaha catering harian,16,9
76300000,3,2,2,3,Kuliner,Usaha catering harian,16,10
37400000,3,2,2,3,Kuliner,Usaha catering harian,16,11
133500000,3,3,3,2,Kuliner,Usaha catering harian,16,12
72800000,3,2,1,3,Kuliner,Usaha catering harian,16,13
8500000,3,2,2,2,Kuliner,Usaha catering harian,16,14
6600000,3,1,3,1,Kuliner,Usaha catering harian,16,15
47600000,2,3,2,3,Kuliner,Usaha catering harian,16,16
53900000,2,2,3,3,Kuliner,Usaha catering harian,16,17
33600000,3,2,2,3,Kuliner,Usaha catering harian,16,18
12600000,2,3,2,3,Kuliner,Usaha catering harian,16,19
10200000,2,3,3,2,Kuliner,Usaha catering harian,16,20
4200000,3,1,2,3,Kuliner,Jajanan pasar,17,1
2000000,1,3,3,3,Kuliner,Jajanan pasar,17,2
40800000,1,2,3,3,Kuliner,Jajanan pasar,17,3
3500000,3,3,2,2,Kuliner,Jajanan pasar,17,4
5400000,1,2,3,3,Kuliner,Jajanan pasar,17,5
2700000,2,3,3,2,Kuliner,Jajanan pasar,17,6
2300000,3,3,1,3,Kuliner,Jajanan pasar,17,7
94100000,3,3,2,3,Kuliner,Jajanan pasar,17,8
30500000,3,3,2,3,Kuliner,Jajanan pasar,17,9
3000000,3,1,2,2,Kuliner,Jajanan pasar,17,10
46300000,3,3,2,3,Kuliner,Jajanan pasar,17,11
30600000,3,3,1,3,Kuliner,Jajanan pasar,17,12
173600000,3,3,2,3,Kuliner,Jajanan pasar,17,13
2800000,1,3,3,3,Kuliner,Jajanan pasar,17,14
4400000,3,2,3,3,Kuliner,Jajanan pasar,17,15
5800000,1,1,2,3,Kuliner,Jajanan pasar,17,16
83400000,1,3,2,3,Kuliner,Jajanan pasar,17,17
3600000,1,3,2,3,Kuliner,Jajanan pasar,17,18
3000000,3,2,2,3,Kuliner,Jajanan pasar,17,19
111000000,3,3,2,3,Kuliner,Jajanan pasar,17,20
16200000,2,3,2,3,Kuliner,Usaha martabak,18,1
34900000,3,2,2,1,Kuliner,Usaha martabak,18,2
61800000,3,3,3,3,Kuliner,Usaha martabak,18,3
28200000,3,3,2,3,Kuliner,Usaha martabak,18,4
10300000,3,3,2,3,Kuliner,Usaha martabak,18,5
181800000,3,3,2,3,Kuliner,Usaha martabak,18,6
11200000,2,3,2,3,Kuliner,Usaha martabak,18,7
12800000,3,3,3,2,Kuliner,Usaha martabak,18,8
11700000,3,2,2,3,Kuliner,Usaha martabak,18,9
11100000,3,2,2,3,Kuliner,Usaha martabak,18,10
80400000,2,3,2,2,Kuliner,Usaha martabak,18,11
42200000,3,3,2,3,Kuliner,Usaha martabak,18,12
15600000,3,3,2,1,Kuliner,Usaha martabak,18,13
10300000,3,2,2,3,Kuliner,Usaha martabak,18,14
72600000,3,3,2,3,Kuliner,Usaha martabak,18,15
12900000,2,1,2,3,Kuliner,Usaha martabak,18,16
13500000,2,1,3,3,Kuliner,Usaha martabak,18,17
15700000,3,3,2,3,Kuliner,Usaha martabak,18,18
30300000,3,2,3,3,Kuliner,Usaha martabak,18,19
19900000,3,2,2,2,Kuliner,Usaha martabak,18,20
28400000,3,2,2,3,Kuliner,Usaha mie ayam,19,1
16000000,3,3,2,2,Kuliner,Usaha mie ayam,19,2
9000000,1,1,2,1,Kuliner,Usaha mie ayam,19,3
8500000,3,3,3,2,Kuliner,Usaha mie ayam,19,4
13000000,3,3,2,3,Kuliner,Usaha mie ayam,19,5
9800000,1,3,3,3,Kuliner,Usaha mie ayam,19,6
12900000,3,2,1,3,Kuliner,Usaha mie ayam,19,7
49100000,3,2,2,3,Kuliner,Usaha mie ayam,19,8
179200000,2,2,2,1,Kuliner,Usaha mie ayam,19,9
12900000,1,3,1,2,Kuliner,Usaha mie ayam,19,10
69800000,3,3,2,1,Kuliner,Usaha mie ayam,19,11
36900000,2,1,3,3,Kuliner,Usaha mie ayam,19,12
10800000,3,2,3,1,Kuliner,Usaha mie ayam,19,13
65600000,3,3,2,2,Kuliner,Usaha mie ayam,19,14
56800000,1,2,2,3,Kuliner,Usaha mie ayam,19,15
114500000,2,2,2,3,Kuliner,Usaha mie ayam,19,16
9900000,3,1,2,3,Kuliner,Usaha mie ayam,19,17
131500000,3,3,2,3,Kuliner,Usaha mie ayam,19,18
8300000,3,3,2,2,Kuliner,Usaha mie ayam,19,19
18400000,3,3,2,2,Kuliner,Usaha mie ayam,19,20
71700000,3,3,2,3,Kuliner,Usaha bakso,20,1
58900000,3,3,3,3,Kuliner,Usaha bakso,20,2
19600000,3,3,3,1,Kuliner,Usaha bakso,20,3
12900000,2,3,2,3,Kuliner,Usaha bakso,20,4
24400000,2,3,2,2,Kuliner,Usaha bakso,20,5
124000000,3,3,2,1,Kuliner,Usaha bakso,20,6
24900000,2,2,2,3,Kuliner,Usaha bakso,20,7
84100000,3,3,2,3,Kuliner,Usaha bakso,20,8
71300000,1,1,1,3,Kuliner,Usaha bakso,20,9
12700000,3,1,2,3,Kuliner,Usaha bakso,20,10
12300000,2,3,2,3,Kuliner,Usaha bakso,20,11
45800000,1,3,2,3,Kuliner,Usaha bakso,20,12
18300000,3,3,2,3,Kuliner,Usaha bakso,20,13
47400000,3,2,2,3,Kuliner,Usaha bakso,20,14
41200000,1,3,1,2,Kuliner,Usaha bakso,20,15
173800000,2,3,2,3,Kuliner,Usaha bakso,20,16
95500000,3,3,3,3,Kuliner,Usaha bakso,20,17
26500000,2,3,2,3,Kuliner,Usaha bakso,20,18
20400000,3,2,2,3,Kuliner,Usaha bakso,20,19
170100000,2,3,3,3,Kuliner,Usaha bakso,20,20
22700000,2,3,3,2,Perdagangan,Toko sembako,21,1
12100000,1,2,3,2,Perdagangan,Toko sembako,21,2
15100000,3,2,3,3,Perdagangan,Toko sembako,21,3
35800000,1,3,3,2,Perdagangan,Toko sembako,21,4
11000000,3,2,3,1,Perdagangan,Toko sembako,21,5
28400000,3,3,3,2,Perdagangan,Toko sembako,21,6
20300000,3,3,3,3,Perdagangan,Toko sembako,21,7
55600000,1,2,3,2,Perdagangan,Toko sembako,21,8
11600000,3,3,3,2,Perdagangan,Toko sembako,21,9
143100000,3,3,3,3,Perdagangan,Toko sembako,21,10
35400000,3,3,2,2,Perdagangan,Toko sembako,21,11
40600000,3,3,3,3,Perdagangan,Toko sembako,21,12
11000000,3,2,2,1,Perdagangan,Toko sembako,21,13
23000000,3,1,3,2,Perdagangan,Toko sembako,21,14
10500000,3,3,2,1,Perdagangan,Toko sembako,21,15
27500000,3,3,3,2,Perdagangan,Toko sembako,21,16
23700000,3,3,1,2,Perdagangan,Toko sembako,21,17
18700000,3,3,3,2,Perdagangan,Toko sembako,21,18
28700000,3,3,2,2,Perdagangan,Toko sembako,21,19
11800000,3,3,3,2,Perdagangan,Toko sembako,21,20
15200000,3,3,2,2,Perdagangan,Toko kelontong,22,1
148500000,3,3,3,2,Perdagangan,Toko kelontong,22,2
20300000,3,3,3,2,Perdagangan,Toko kelontong,22,3
195700000,3,3,3,2,Perdagangan,Toko kelontong,22,4
14900000,3,3,1,2,Perdagangan,Toko kelontong,22,5
154100000,2,3,3,2,Perdagangan,Toko kelontong,22,6
16100000,3,1,2,2,Perdagangan,Toko kelontong,22,7
15900000,3,3,3,2,Perdagangan,Toko kelontong,22,8
10200000,3,1,3,3,Perdagangan,Toko kelontong,22,9
12200000,3,3,3,2,Perdagangan,Toko kelontong,22,10
76300000,2,2,1,1,Perdagangan,Toko kelontong,22,11
14800000,2,3,3,2,Perdagangan,Toko kelontong,22,12
72200000,3,3,1,3,Perdagangan,Toko kelontong,22,13
24100000,3,3,3,2,Perdagangan,Toko kelontong,22,14
11100000,1,3,3,3,Perdagangan,Toko kelontong,22,15
17100000,2,3,3,2,Perdagangan,Toko kelontong,22,16
10000000,3,3,3,1,Perdagangan,Toko kelontong,22,17
69000000,3,3,2,3,Perdagangan,Toko kelontong,22,18
24300000,2,3,3,2,Perdagangan,Toko kelontong,22,19
160700000,2,3,3,3,Perdagangan,Toko kelontong,22,20
11400000,2,2,1,3,Perdagangan,Reseller online,23,1
5700000,3,2,1,3,Perdagangan,Reseller online,23,2
5200000,2,3,3,3,Perdagangan,Reseller online,23,3
24700000,3,2,3,3,Perdagangan,Reseller online,23,4
8000000,3,2,1,2,Perdagangan,Reseller online,23,5
3200000,3,2,3,3,Perdagangan,Reseller online,23,6
4900000,3,3,3,3,Perdagangan,Reseller online,23,7
1700000,3,1,1,3,Perdagangan,Reseller online,23,8
1800000,3,2,3,3,Perdagangan,Reseller online,23,9
4000000,2,1,2,3,Perdagangan,Reseller online,23,10
44800000,3,2,3,3,Perdagangan,Reseller online,23,11
7100000,2,2,2,3,Perdagangan,Reseller online,23,12
140800000,3,2,1,3,Perdagangan,Reseller online,23,13
162600000,3,2,3,3,Perdagangan,Reseller online,23,14
32900000,3,2,2,3,Perdagangan,Reseller online,23,15
4700000,3,3,3,3,Perdagangan,Reseller online,23,16
2500000,3,2,1,3,Perdagangan,Reseller online,23,17
17000000,3,2,2,3,Perdagangan,Reseller online,23,18
37700000,3,1,3,1,Perdagangan,Reseller online,23,19
72300000,2,2,3,3,Perdagangan,Reseller online,23,20
3700000,2,1,3,3,Perdagangan,Dropshipper,24,1
